siren;trancheEffectifsEtablissement;anneeEffectifsEtablissement;trancheEffectifsEtablissement_texte
857500227;41.0;2017.0;500 à 999 salariés
857800692;41.0;2017.0;500 à 999 salariés
857802508;42.0;2017.0;1 000 à 1 999 salariés
867800427;51.0;2017.0;2 000 à 4 999 salariés
870800299;41.0;2017.0;500 à 999 salariés
872803390;41.0;2017.0;500 à 999 salariés
876580077;41.0;2017.0;500 à 999 salariés
886080282;41.0;2017.0;500 à 999 salariés
916920697;41.0;2017.0;500 à 999 salariés
925520108;41.0;2017.0;500 à 999 salariés
927250217;42.0;2017.0;1 000 à 1 999 salariés
937080414;41.0;2017.0;500 à 999 salariés
945551018;41.0;2017.0;500 à 999 salariés
945752137;42.0;2017.0;1 000 à 1 999 salariés
946750650;41.0;2017.0;500 à 999 salariés
950308783;41.0;2017.0;500 à 999 salariés
950344333;41.0;2017.0;500 à 999 salariés
950344333;42.0;2017.0;1 000 à 1 999 salariés
950608406;41.0;2017.0;500 à 999 salariés
954503439;42.0;2017.0;1 000 à 1 999 salariés
954503439;41.0;2017.0;500 à 999 salariés
954506077;51.0;2017.0;2 000 à 4 999 salariés
954506077;42.0;2017.0;1 000 à 1 999 salariés
954506077;42.0;2017.0;1 000 à 1 999 salariés
954506077;42.0;2017.0;1 000 à 1 999 salariés
954507976;41.0;2017.0;500 à 999 salariés
954509741;41.0;2017.0;500 à 999 salariés
954509741;42.0;2017.0;1 000 à 1 999 salariés
954509741;41.0;2017.0;500 à 999 salariés
955500293;41.0;2017.0;500 à 999 salariés
955500293;42.0;2017.0;1 000 à 1 999 salariés
956501258;41.0;2017.0;500 à 999 salariés
956512495;41.0;2017.0;500 à 999 salariés
957520901;41.0;2017.0;500 à 999 salariés
959504739;41.0;2017.0;500 à 999 salariés
967501685;41.0;2017.0;500 à 999 salariés
967504697;42.0;2017.0;1 000 à 1 999 salariés
967505967;41.0;2017.0;500 à 999 salariés
968502559;41.0;2017.0;500 à 999 salariés
968802249;41.0;2017.0;500 à 999 salariés
969510940;41.0;2017.0;500 à 999 salariés
971204052;41.0;2017.0;500 à 999 salariés
976950311;41.0;2017.0;500 à 999 salariés
997556303;41.0;2017.0;500 à 999 salariés
998348601;42.0;2017.0;1 000 à 1 999 salariés
